address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,postcode
"Welby Avenue, Lenton, Nottingham, Nottinghamshire, NG7",521.0,120.0,2024-12-02 00:00:00,,House Share,6.0,,NG7
"Gadd Street, Nottingham, NG7",3354.0,774.0,2025-08-23 00:00:00,Furnished,Terraced,5.0,2.0,NG7
"Pierrepont Court, 209 Trent Boulevard, West Bridgford, Nottingham, NG2",795.0,183.0,2024-11-18 00:00:00,Unfurnished,Apartment,1.0,1.0,NG2
"Gadd Street, Nottingham, NG7",3380.0,780.0,2025-08-23 00:00:00,Furnished,Terraced,6.0,2.0,NG7
"Gadd Street, Nottingham, NG7",3354.0,774.0,2025-08-23 00:00:00,Furnished,Terraced,5.0,2.0,NG7
"Cloister Street, Nottingham, NG7",3029.0,699.0,2025-08-01 00:00:00,Furnished,Detached,5.0,2.0,NG7
"Hemscott Close, Nottingham, NG6",850.0,196.0,2024-11-18 00:00:00,Unfurnished,Semi-Detached Bungalow,2.0,1.0,NG6
4 Sherwin Grove NG7 2EZ,641.0,148.0,2025-06-30 00:00:00,Furnished,House,6.0,3.0,NG7
18 Midland Avenue NG7 2FD,641.0,148.0,2025-06-30 00:00:00,Furnished,House,6.0,2.0,NG7
"Woodborough Road, Nottingham",850.0,196.0,2024-11-18 00:00:00,Unfurnished,Flat,2.0,1.0,
"Woodstock Avenue, Nottingham, NG7",930.0,215.0,2025-01-01 00:00:00,Furnished,Maisonette,1.0,1.0,NG7
"Carrington, Nottingham, NG5",895.0,207.0,2024-11-29 00:00:00,Furnished,Flat,1.0,1.0,NG5
"Moorbridge Lane, Stapleford, Nottingham, NG9",495.0,114.0,2024-11-17 00:00:00,Furnished,House Share,1.0,5.0,NG9
"Ogle Street, Hucknall, NG15",695.0,160.0,2024-11-17 00:00:00,Unfurnished,Flat,1.0,1.0,NG15
"Moorbridge Lane, Stapleford, Nottingham, NG9",495.0,114.0,2024-11-17 00:00:00,Furnished,House Share,1.0,5.0,NG9
"Ferriby Terrace, Nottingham, Nottinghamshire, NG2",1250.0,288.0,2024-11-25 00:00:00,Unfurnished,Terraced,2.0,,NG2
"Derby Road. Beeston, Nottingham, NG9 2TB",1450.0,335.0,2024-11-17 00:00:00,Furnished,Semi-Detached,4.0,3.0,NG9
"Room 2, Hodgkin Close, Clifton, NG11",577.0,133.0,2024-11-17 00:00:00,Furnished,House,1.0,1.0,NG11
"Room 1, Hodgkin Close, Clifton, NG11",477.0,110.0,2024-11-17 00:00:00,Furnished,House Share,1.0,1.0,NG11
"Room 2, Hodgkin Close, Clifton, NG11",577.0,133.0,2024-11-17 00:00:00,Furnished,House Share,1.0,1.0,NG11
"Room 1, Kinsale Walk, Clifton, NG11",547.0,126.0,2024-11-17 00:00:00,Furnished,House Share,1.0,1.0,NG11
"6 The Bartons, NG7",1250.0,288.0,2024-11-29 00:00:00,,Apartment,2.0,1.0,NG7
"Room 2, Failsworth Close, NG11",497.0,115.0,2024-11-17 00:00:00,Furnished,House Share,1.0,1.0,NG11
"Apartment 8, Crusader House, Thurland Street,Nottingham,NG1",1100.0,254.0,2024-12-23 00:00:00,Furnished,Apartment,2.0,,NG1
"Room 1, Failsworth Close, NG11",697.0,161.0,2024-11-17 00:00:00,Furnished,House Share,1.0,1.0,NG11
"*£135pppw excl bills * Harlaxton Drive, Lenton, NG7 1JE",2932.0,677.0,2025-08-01 00:00:00,Furnished,Semi-Detached,5.0,2.0,NG7
"Briarbank Walk, Nottingham, NG3",895.0,207.0,2024-11-17 00:00:00,Unfurnished,Terraced,3.0,1.0,NG3
"Wilmot Street, Long Eaton, NG10",700.0,162.0,2024-11-17 00:00:00,Unfurnished,Flat,1.0,1.0,NG10
"Church Street, Ruddington, Nottingham",750.0,173.0,2024-11-29 00:00:00,Unfurnished,Flat,1.0,1.0,
"Douglas Road, Lenton, Nottingham",3006.0,694.0,2025-08-15 00:00:00,Furnished,Flat,4.0,2.0,
"Main Street, Kimberley",550.0,127.0,2024-11-17 00:00:00,Furnished,House Share,1.0,1.0,
"Warwick Avenue, Beeston",2045.0,472.0,2025-09-01 00:00:00,Furnished,,4.0,1.0,
"The Wells, Woodborough Road, Nottingham, Nottinghamshire, NG3",900.0,208.0,,Furnished,Apartment,1.0,,NG3
