address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,council_tax,let_type,postcode
"Ninth Avenue, Heworth",5070.0,1170.0,2025-07-01 00:00:00,Furnished,End of Terrace,6.0,2.0,B,,
Wellington Street,2600.0,600.0,2025-07-21 00:00:00,Furnished,House,4.0,2.0,B,,
"Lamel Street, Hull Road",4312.0,995.0,2025-07-07 00:00:00,Furnished,Semi-Detached,5.0,3.0,C,,
"Lamel Street, Hull Road",5174.0,1194.0,2025-07-09 00:00:00,Furnished,Detached,6.0,3.0,D,,
"Apartment 7 North Lodge Clifton Park Avenue, York",1100.0,254.0,2024-11-17 00:00:00,Unfurnished,Apartment,2.0,2.0,C,Long term,
"The School House, 2 Walmgate, York, North Yorkshire, YO1",2350.0,542.0,2025-01-05 00:00:00,Furnished,Cottage,1.0,,,Long term,YO1
"Fetter Lane, York, North Yorkshire, YO1",2150.0,496.0,2025-01-01 00:00:00,Furnished,Flat,2.0,,,Long term,YO1
"Wellington Street, York",3207.0,740.0,2025-07-18 00:00:00,Furnished,House,4.0,2.0,B,,
"Summerhouse Mews, York, North Yorkshire, YO30",2000.0,462.0,2025-01-01 00:00:00,Furnished,Ground Flat,1.0,,,Short term,YO30
"Bootham Row, York, North Yorkshire, YO30",1750.0,404.0,2024-12-22 00:00:00,Furnished,Flat,1.0,,,Short term,YO30
"Hartoft Street, YORK",1350.0,312.0,2024-11-17 00:00:00,,Terraced,3.0,1.0,,Long term,
"Hempland Lane, York, North Yorkshire, YO31",1750.0,404.0,2024-11-30 00:00:00,Furnished,Apartment,1.0,1.0,,Short term,YO31
"Paragon House, Fawcett Street, York, YO10",1200.0,277.0,2024-12-14 00:00:00,Part furnished,Flat,2.0,1.0,C,Long term,YO10
"North Eastern Terrace, York, YO24",1150.0,265.0,2024-11-22 00:00:00,Unfurnished,Terraced,2.0,1.0,,Long term,YO24
"Second Avenue, Heworth",4073.0,940.0,2025-07-20 00:00:00,Furnished,End of Terrace,5.0,3.0,D,,
"Garfield Terrace, York",900.0,208.0,2024-11-19 00:00:00,Unfurnished,Terraced,2.0,1.0,A,Long term,
"Prospect Terrace, Fulford, York, YO10",1100.0,254.0,2025-01-13 00:00:00,Unfurnished,Terraced,2.0,1.0,B,Long term,YO10
"Temple Avenue, Tang Hall",4117.0,950.0,2025-09-04 00:00:00,Furnished,Semi-Detached,5.0,2.0,B,,
"Escrick Terrace, Fishergate",5070.0,1170.0,2025-07-18 00:00:00,Furnished,House,6.0,2.0,D,,
"Aldersyde House, Aldersyde, York, YO24",950.0,219.0,2024-11-30 00:00:00,Unfurnished,Flat,1.0,1.0,C,Long term,YO24
"Lawrence Street, York",3380.0,780.0,2025-07-24 00:00:00,Furnished,House,4.0,2.0,C,,
"Hull Road, York",5148.0,1188.0,2025-08-01 00:00:00,Furnished,House,6.0,2.0,E,,
"Jervaulx House, Lawrence Square",2470.0,570.0,2025-07-04 00:00:00,Furnished,Private Halls,3.0,2.0,,,
