address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,garden,postcode
"Epinal Court, Loughborough, LE11",950.0,219.0,2024-11-17 00:00:00,Unfurnished,End of Terrace,3,2.0,Private garden,LE11
"Alan Moss Road, Loughborough, Leicestershire",477.0,110.0,2025-07-02 00:00:00,Furnished,House,4,,Yes,
"Ratcliffe Road, Loughborough LE11",995.0,230.0,2024-11-17 00:00:00,Unfurnished,Terraced,4,1.0,Yes,LE11
"Leopold Street, Loughborough - INC BILLS OPTION",455.0,105.0,2025-07-01 00:00:00,Furnished,House of Multiple Occupation,3,1.0,Yes,
"Rosebery Street, Loughborough - INC BILLS OPTION",477.0,110.0,2025-07-01 00:00:00,Furnished,,3,1.0,,
"Fennel Street, Loughborough, LE11",900.0,208.0,2024-12-07 00:00:00,"Furnished or unfurnished, landlord is flexible",Flat,2,1.0,,LE11
"Arthur Street, Loughborough,",433.0,100.0,2024-11-17 00:00:00,Furnished,House,5,2.0,,
"Sharpley Road, Loughborough, Leicestershire",455.0,105.0,2025-07-01 00:00:00,Furnished,House,4,,Yes,
"Fearon Street , Loughborough,",542.0,125.0,2025-07-02 00:00:00,Furnished,House,5,,,
"Kingfisher Way, ,",650.0,150.0,2025-07-02 00:00:00,Furnished,House,5,2.0,,
"Park Road, Loughborough,",585.0,135.0,2025-07-02 00:00:00,Furnished,House,5,2.0,,
"Moorhen Way, Loughborough,",607.0,140.0,2025-07-01 00:00:00,Furnished,House,6,2.0,,
"Meadow Lane, Loughborough , Leicestershire",433.0,100.0,2025-07-02 00:00:00,Furnished,House,8,3.0,,
"Derby Road, Loughborough,",563.0,130.0,2025-07-02 00:00:00,Furnished,House,8,2.0,,
"Ashby Road, Loughborough,",672.0,155.0,2025-07-02 00:00:00,Furnished,House,8,2.0,,
"Meadow Lane, Loughborough,",433.0,100.0,2025-07-02 00:00:00,Furnished,House,6,3.0,,
"Broad Street, Loughborough,",563.0,130.0,2025-07-02 00:00:00,Furnished,House,6,1.0,Yes,
